Municipality Name,County,MPO,Year,Combination Long-Haul Truck,Combination Short-Haul Truck,Intercity Bus,Light Commercial Trucks,Motor Home,Motorcycles,Passenger Cars,Passenger Trucks,Refuse Truck,School Bus,Single Unit Long-Haul Truck,Single Unit Short-Haul Truck,Transit Bus,Total
Tewksbury,Hunterdon,NJTPA,2017,1517619,377037,61274,2234382,88046,389206,47427704,6760715,152059,173953,584652,1421315,46752,61234714
Spring Lake ,Monmouth,NJTPA,2019,1034697,258190,61146,600871,22054,117363,11372895,1962385,34829,77401,136631,334507,47357,16060326
Woodlynne ,Camden,DVRPC,2019,215204,90204,60807,459784,21082,89477,3769211,4640062,34662,66786,147324,228189,27465,9850255
Union,Hunterdon,NJTPA,2017,3304637,821002,60776,1408718,150972,230767,31889195,4262451,260734,172540,1002499,2437116,46372,46047779
Frankford,Sussex,NJTPA,2017,241624,60029,60467,3209908,60380,542114,38505352,9712426,93936,153423,282146,685838,47079,53654722
Byram,Sussex,NJTPA,2017,1370571,340505,59613,3039775,57294,470158,43546733,9197644,137976,145385,455372,1105928,46389,59973343
Woodstown ,Salem,SJTPO,2015,362390,56586,59583,511215,27442,168724,5429266,7440021,34192,85133,299392,220492,26304,14720742
Pennington ,Mercer,DVRPC,2015,181589,562628,59537,2092738,32746,166705,14294915,11264465,83352,68468,309594,613235,38699,29768670
Greenwich,Cumberland,SJTPO,2020,42604,38801,59283,180419,1556,35475,1165002,1407973,2956,34164,42257,91810,13866,3116163
Bogota ,Bergen,NJTPA,2019,919060,232501,59134,837997,17318,133015,27714229,2890595,81420,82041,307833,754195,46817,34076155
Prospect Park ,Passaic,NJTPA,2017,68462,17009,58113,683560,1417,118851,14195032,2068294,8195,67602,27162,65917,45256,17424870
Old Tappan ,Bergen,NJTPA,2017,210491,52294,58032,2529429,2204,274563,29183351,7653456,20312,42867,80325,194990,45057,40347371
Longport ,Atlantic,SJTPO,2020,183120,90266,57795,492480,2387,64252,3345275,3676301,6841,27823,106728,202601,25797,8281666
Emerson ,Bergen,NJTPA,2017,279374,69407,57367,2840763,2515,309217,34266914,8595481,23182,42376,91675,222542,44540,46845353
Alpha ,Warren,NJTPA,2017,3935296,977683,56960,682995,63819,44725,17280979,2066584,105013,71749,406010,985535,44246,26721594
Sea Girt ,Monmouth,NJTPA,2019,956332,238636,56515,555362,20383,108475,10511541,1813759,32191,71538,126283,309173,43770,14843958
Lawnside ,Camden,DVRPC,2015,171799,532295,56328,1979913,30980,157717,13524240,10657169,78859,64777,292903,580174,36613,28163765
Hope,Warren,NJTPA,2019,952842,237765,56309,553336,20309,108079,10473184,1807141,32073,71277,125822,308045,43610,14789792
Asbury Park ,Monmouth,NJTPA,2017,70469,17511,56239,2463851,18429,894016,64560801,7455031,62909,146478,169634,411922,44057,76371347
Springfield,Burlington,DVRPC,2015,171369,530964,56187,1974960,30903,157323,13490412,10630512,78661,64615,292171,578722,36521,28093320
Rumson ,Monmouth,NJTPA,2017,12304,3057,56156,1293526,7606,434978,33745422,3913906,25961,146263,70005,169995,43995,39923174
Keyport ,Monmouth,NJTPA,2017,156796,38954,55984,1561990,29422,456520,37886902,4726211,100436,145813,270829,657649,43860,46131366
Liberty,Warren,NJTPA,2019,946766,236249,55949,549807,20179,107390,10406393,1795616,31869,70823,125020,306080,43332,14695473
Andover,Sussex,NJTPA,2017,157693,39177,55861,2750257,40245,517767,37054811,8321631,62612,141738,188057,457128,43493,49830470
Chesilhurst ,Camden,DVRPC,2019,195156,81801,55143,416952,19119,81141,3418086,4207813,31433,60564,133600,206932,24906,8932645
Essex Fells ,Essex,NJTPA,2017,54199,13465,54490,339343,94,144990,9327023,1026772,2184,38347,6176,14983,42474,11064540
Cape May ,Cape May,SJTPO,2015,101515,117493,54317,460150,28286,62913,3185208,3659038,44370,34527,53958,261817,24922,7739485
Frenchtown ,Hunterdon,NJTPA,2019,918496,229194,54279,533390,19577,104183,10095666,1742000,30917,68708,121287,296941,42038,14256676
Clementon ,Camden,DVRPC,2015,164667,510199,53989,1897725,29694,151170,12962841,10214783,75585,62088,280745,556090,35093,26994670
Rockleigh ,Bergen,NJTPA,2019,911927,227555,53891,529575,19437,103438,10023459,1729541,30696,68217,120419,294817,41738,14154710
Mine Hill,Morris,NJTPA,2017,50959,12660,53820,884143,4125,75385,19424473,2675210,16178,88437,56764,137783,41699,23521636
Lakehurst ,Ocean,NJTPA,2017,127435,31660,53586,907227,42242,229776,19540232,2745055,102616,68113,151500,367823,41524,24408789
Helmetta ,Middlesex,NJTPA,2019,905308,225904,53500,525732,19296,102687,9950713,1716989,30473,67722,119545,292677,41435,14051981
Peapack and Gladstone ,Somerset,NJTPA,2017,215532,53546,53362,1167442,13452,197462,32944752,3532407,62597,81524,244986,594116,41459,39202637
Tuckerton ,Ocean,NJTPA,2017,65611,16300,53227,842430,23042,194086,17494451,2548997,55974,67656,82638,200635,41246,21686293
Shrewsbury,Monmouth,NJTPA,2019,894111,223109,52838,519229,19057,101417,9827633,1695751,30096,66884,118067,289057,40922,13878171
Kingwood,Hunterdon,NJTPA,2017,145512,36150,52697,1627300,14351,324167,32085724,4923828,24785,149603,95297,231669,40208,39751291
Washington,Burlington,DVRPC,2019,185802,77880,52500,396967,18202,77252,3254256,4006131,29926,57661,127196,197014,23712,8504500
Little Silver ,Monmouth,NJTPA,2017,37288,9264,52388,1138561,10433,441281,32461223,3445015,35617,136447,96042,233217,41042,38137818
Mount Ephraim ,Camden,DVRPC,2015,158320,490532,51908,1824570,28549,145343,12463137,9821014,72671,59694,269922,534654,33740,25954055
South Harrison,Gloucester,DVRPC,2015,158064,489738,51824,1821619,28503,145108,12442981,9805131,72554,59598,269486,533789,33686,25912080
Wrightstown ,Burlington,DVRPC,2015,157812,488959,51742,1818720,28458,144877,12423175,9789524,72438,59503,269057,532939,33632,25870835
Frelinghuysen,Warren,NJTPA,2017,2315460,575252,51622,700960,40073,118932,14628622,2120939,65939,65025,254939,618830,40100,21596693
Woodland,Burlington,DVRPC,2015,155310,481205,50921,1789878,28007,142579,12226168,9634282,71290,58559,264790,524488,33099,25460575
Delanco,Burlington,DVRPC,2015,154837,479742,50766,1784439,27922,142146,12189010,9605001,71073,58381,263985,522894,32998,25383195
Swedesboro ,Gloucester,DVRPC,2015,154593,478984,50686,1781616,27877,141921,12169730,9589808,70961,58289,263568,522067,32946,25343045
Lebanon ,Hunterdon,NJTPA,2017,957039,237765,49919,1362658,46429,278472,26457001,4123083,80185,141718,308303,749496,38088,34830156
Woodbury Heights ,Gloucester,DVRPC,2015,150750,467077,49426,1737328,27184,138393,11867209,9351420,69197,56840,257016,509089,32127,24713055
Woodstown ,Salem,SJTPO,2020,147100,179837,49245,873278,5542,143976,5745623,7953829,8529,106238,98321,319749,38622,15669042
Stanhope ,Sussex,NJTPA,2017,117828,29273,48953,2089951,29525,313415,29760111,6323701,46405,119907,139775,339754,38096,39396694
Longport ,Atlantic,SJTPO,2015,183422,108026,48255,419949,9820,62937,3384863,3645383,25458,42205,73888,198611,21794,8224610
Hope,Warren,NJTPA,2017,2561650,636415,48199,746936,44042,101239,16764074,2260052,72470,60713,280188,680119,37441,24293538
Penns Grove ,Salem,SJTPO,2015,292981,45748,48171,413302,22186,136409,4389399,6015034,27643,68828,242049,178261,21266,11901278
Downe,Cumberland,SJTPO,2015,168504,27539,47800,255437,11385,56007,2364079,2851014,18014,72347,144956,121400,21535,6160016
Norwood ,Bergen,NJTPA,2017,210699,52347,47564,2095252,2310,268838,25718978,6339738,21287,35135,84182,204352,36929,35117611
Medford Lakes ,Burlington,DVRPC,2015,141712,439076,46463,1633176,25555,130097,11155776,8790807,65048,53432,241608,478569,30201,23231520
Magnolia ,Camden,DVRPC,2015,137905,427279,45215,1589298,24868,126601,10856059,8554629,63301,51997,235117,465712,29390,22607370
East Amwell,Hunterdon,NJTPA,2017,1244416,309162,45111,1316791,100478,237844,28312095,3984302,173530,128067,667204,1622002,34420,38175422
Sea Bright ,Monmouth,NJTPA,2019,756050,188659,44679,439054,16114,85757,8310137,1433908,25449,56556,99836,244424,34603,11735226
Allentown ,Monmouth,NJTPA,2019,752549,187785,44472,437021,16040,85360,8271657,1427269,25331,56294,99374,243292,34443,11680887
Bloomsbury ,Hunterdon,NJTPA,2019,747658,186565,44183,434181,15936,84805,8217899,1417993,25167,55929,98728,241711,34219,11604974
Demarest ,Bergen,NJTPA,2017,210545,52308,44099,2019144,1857,185392,22239876,6109453,17112,32575,67670,164270,34239,31178540
Wood-Ridge ,Bergen,NJTPA,2017,808504,200865,44006,1838546,4469,187672,30452584,5563008,41184,32506,162865,395356,34166,39765731
Newton,Sussex,NJTPA,2017,184481,45833,43817,3576791,52960,729794,51929608,10822530,82393,111179,247476,601562,34117,68462541
Bass River,Burlington,DVRPC,2015,133211,412737,43676,1535208,24022,122293,10486584,8263480,61146,50227,227115,449862,28389,21837950
Hampton,Sussex,NJTPA,2017,137426,34142,43457,2114918,33484,395566,28557946,6399246,52094,110265,156469,380343,33834,38449190
Harrington Park ,Bergen,NJTPA,2017,176366,43816,43454,2086284,1874,214396,24510467,6312604,17272,32099,68304,165810,33738,33706484
Glen Gardner ,Hunterdon,NJTPA,2019,735228,183463,43449,426963,15671,83395,8081276,1394419,24748,54999,97086,237692,33650,11412039
Eagleswood,Ocean,NJTPA,2017,271556,67465,42875,632163,34459,186299,15361037,1912777,83709,54499,123586,300053,33224,19103702
Hampton ,Hunterdon,NJTPA,2019,723223,180468,42739,419991,15415,82034,7949323,1371650,24344,54101,95501,233811,33101,11225701
Beach Haven ,Ocean,NJTPA,2019,722694,180336,42708,419684,15404,81974,7943509,1370647,24326,54061,95431,233640,33077,11217491
Frelinghuysen,Warren,NJTPA,2019,712926,177898,42131,414011,15195,80866,7836138,1352120,23998,53330,94141,230482,32630,11065866
Wildwood ,Cape May,SJTPO,2020,107592,65177,42094,420161,3870,71572,2338637,3236474,6823,17061,151031,206785,17862,6685136
Wildwood ,Cape May,SJTPO,2015,78562,90927,42035,356108,21891,48688,2465015,2831710,34338,26720,41758,202619,19287,5989547
Far Hills ,Somerset,NJTPA,2019,703840,175631,41594,408735,15002,79835,7736266,1334887,23692,52651,92942,227544,32214,10924833
Lebanon,Hunterdon,NJTPA,2017,66980,16641,41342,1964765,25776,424954,37045881,5944918,44516,117367,171159,416095,31544,46311938
Milford ,Hunterdon,NJTPA,2019,690393,172275,40799,400926,14715,78310,7588467,1309385,23239,51645,91166,223197,31598,10716115
Avon-by-the-Sea ,Monmouth,NJTPA,2019,687993,171676,40657,399532,14664,78038,7562090,1304833,23158,51465,90849,222421,31488,10678864
Gibbsboro ,Camden,DVRPC,2015,122783,380425,40257,1415019,22141,112718,9665605,7616545,56359,46295,209334,414643,26167,20128290
Lavallette ,Ocean,NJTPA,2019,677954,169171,40064,393702,14450,76899,7451741,1285793,22820,50714,89523,219176,31029,10523036
Hi-Nella ,Camden,DVRPC,2019,141720,59403,40044,302786,13884,58924,2482173,3055663,22826,43981,97019,150271,18086,6486780
Rockleigh ,Bergen,NJTPA,2017,345819,85915,39575,1717728,5118,240687,22846562,5197439,47177,29233,186564,452888,30726,31225431
Oaklyn ,Camden,DVRPC,2015,120169,372326,39400,1384895,21670,110319,9459834,7454397,55159,45309,204878,405815,25610,19699780
Pine Beach ,Ocean,NJTPA,2019,653317,163024,38608,379395,13925,74104,7180944,1239067,21991,48871,86270,211211,29901,10140628
Franklin,Hunterdon,NJTPA,2017,724001,179871,38467,1657938,62119,363006,32333194,5016531,107281,109206,412488,1002776,29351,42036229
High Bridge ,Hunterdon,NJTPA,2017,31978,7945,38391,1577001,15405,342810,29165206,4771634,26605,108989,102292,248674,29293,36466223
Merchantville ,Camden,DVRPC,2015,115126,356701,37746,1326776,20760,105689,9062841,7141564,52845,43408,196280,388785,24535,18873055
Beach Haven ,Ocean,NJTPA,2017,5297,1317,36949,506297,2015,87681,6045075,1531931,4889,46965,7218,17521,28631,8321786
Harding,Morris,NJTPA,2017,2190612,544235,36667,853400,33945,101514,24848623,2582189,138029,59508,496934,1205949,28422,33120027
Stone Harbor ,Cape May,SJTPO,2020,93317,56529,36509,364415,3357,62076,2028353,2807068,5918,14797,130992,179349,15492,5798172
Holland,Hunterdon,NJTPA,2017,34010,8449,36417,2189963,13774,538626,37582354,6626312,23773,100973,91417,222237,27806,47496111
Hopewell ,Mercer,DVRPC,2015,111069,344132,36416,1280024,20029,101965,8743494,6889917,50982,41878,189363,375085,23670,18208025
Franklin ,Sussex,NJTPA,2017,153274,38079,36301,2237182,40869,426555,31553548,6769185,63582,92106,190975,464219,28264,42094139
Alexandria,Hunterdon,NJTPA,2017,45370,11272,36285,1919693,18426,400637,37796863,5808538,31823,103011,122356,297455,27685,46619414
Lake Como ,Monmouth,NJTPA,2019,612852,152926,36217,355896,13062,69514,6736171,1162322,20629,45844,80927,198129,28049,9512538
