zip,Zipcode name,City,State,County Name
7978,"PLUCKEMIN, NJ",PLUCKEMIN,NJ,SOMERSET
7977,"PEAPACK, NJ",PEAPACK,NJ,SOMERSET
7976,"NEW VERNON, NJ",NEW VERNON,NJ,MORRIS
7974,"NEW PROVIDENCE, NJ",NEW PROVIDENCE,NJ,UNION
7970,"MOUNT FREEDOM, NJ",MOUNT FREEDOM,NJ,MORRIS
7963,"MORRISTOWN, NJ",MORRISTOWN,NJ,MORRIS
7962,"MORRISTOWN, NJ",MORRISTOWN,NJ,MORRIS
7961,"CONVENT STATION, NJ",CONVENT STATION,NJ,MORRIS
7960,"MORRISTOWN, NJ",MORRISTOWN,NJ,MORRIS
7950,"MORRIS PLAINS, NJ",MORRIS PLAINS,NJ,MORRIS
7946,"MILLINGTON, NJ",MILLINGTON,NJ,MORRIS
7945,"MENDHAM, NJ",MENDHAM,NJ,MORRIS
7940,"MADISON, NJ",MADISON,NJ,MORRIS
7939,"LYONS, NJ",LYONS,NJ,SOMERSET
7938,"LIBERTY CORNER, NJ",LIBERTY CORNER,NJ,SOMERSET
7936,"EAST HANOVER, NJ",EAST HANOVER,NJ,MORRIS
7935,"GREEN VILLAGE, NJ",GREEN VILLAGE,NJ,MORRIS
7934,"GLADSTONE, NJ",GLADSTONE,NJ,SOMERSET
7933,"GILLETTE, NJ",GILLETTE,NJ,MORRIS
7932,"FLORHAM PARK, NJ",FLORHAM PARK,NJ,MORRIS
7931,"FAR HILLS, NJ",FAR HILLS,NJ,SOMERSET
7930,"CHESTER, NJ",CHESTER,NJ,MORRIS
7928,"CHATHAM, NJ",CHATHAM,NJ,MORRIS
7927,"CEDAR KNOLLS, NJ",CEDAR KNOLLS,NJ,MORRIS
7926,"BROOKSIDE, NJ",BROOKSIDE,NJ,MORRIS
7924,"BERNARDSVILLE, NJ",BERNARDSVILLE,NJ,SOMERSET
7922,"BERKELEY HEIGHTS, NJ",BERKELEY HEIGHTS,NJ,UNION
7921,"BEDMINSTER, NJ",BEDMINSTER,NJ,SOMERSET
7920,"BASKING RIDGE, NJ",BASKING RIDGE,NJ,SOMERSET
7902,"SUMMIT, NJ",SUMMIT,NJ,UNION
7901,"SUMMIT, NJ",SUMMIT,NJ,UNION
